instance,problem,approach,n_jobs,gamma,k,time,objective,n_active_col,quality,gap,rule_for_branching
instance_n10_r30_d20_4.txt,2,colgen-ext,10,5,0,2.030,231.000,1,Optimal,0.00000,default
instance_n5_r30_d30_0.txt,2,colgen-ext,5,2,0,1.112,91.208,3,Optimal,0.00000,default
instance_n10_r20_d20_1.txt,2,colgen-ext,10,1,0,3.481,137.000,1,Optimal,0.00000,default
instance_n5_r5_d20_3.txt,2,colgen-ext,5,2,0,0.324,118.000,1,Optimal,0.00000,default
instance_n15_r5_d10_0.txt,2,colgen-ext,15,4,0,97.315,204.000,1,Optimal,0.00000,default
instance_n10_r10_d5_4.txt,2,colgen-ext,10,2,0,12.374,182.560,5,Optimal,0.00000,default
instance_n15_r20_d5_0.txt,2,colgen-ext,15,9,0,6.926,229.000,1,Optimal,0.00000,default
instance_n10_r5_d10_1.txt,2,colgen-ext,10,5,0,1.959,179.000,1,Optimal,0.00000,default
instance_n5_r30_d5_4.txt,2,colgen-ext,5,1,0,0.020,24.000,1,Optimal,0.00000,default
instance_n15_r20_d20_2.txt,2,colgen-ext,15,9,0,924.317,263.000,1,Optimal,0.00000,default
instance_n15_r30_d10_3.txt,2,colgen-ext,15,5,0,2.729,178.000,1,Optimal,0.00000,default
instance_n10_r20_d20_3.txt,2,colgen-ext,10,6,0,2.452,171.000,1,Optimal,0.00000,default
instance_n15_r10_d30_4.txt,2,colgen-ext,15,4,0,2125.540,212.485,5,Optimal,0.00000,default
instance_n15_r5_d5_4.txt,2,colgen-ext,15,3,0,1.792,334.000,1,Optimal,0.00000,default
instance_n10_r5_d10_3.txt,2,colgen-ext,10,2,0,3.501,177.000,1,Optimal,0.00000,default
instance_n15_r5_d10_2.txt,2,colgen-ext,15,3,0,66.821,346.463,2,Optimal,0.00000,default
instance_n15_r30_d5_1.txt,2,colgen-ext,15,8,0,2.467,287.000,1,Optimal,0.00000,default
instance_n15_r20_d10_4.txt,2,colgen-ext,15,6,0,6.848,264.000,1,Optimal,0.00000,default
instance_n15_r30_d10_1.txt,2,colgen-ext,15,2,0,180.824,155.811,7,Optimal,0.00000,default
instance_n10_r30_d30_0.txt,2,colgen-ext,10,4,0,8.537,112.000,1,Optimal,0.00000,default
