"x","y"
1,0.42
1.05,0.42
1.1,0.42
1.15,0.42
1.2,0.42
1.25,0.42
1.3,0.42
1.35,0.42
1.4,0.42
1.45,0.42
1.5,0.42
1.55,0.42
1.6,0.42
1.65,0.42
1.7,0.42
1.75,0.42
1.8,0.42
1.85,0.42
1.9,0.42
1.95,0.42
2,0.42
2.05,0.42
2.1,0.42375
2.15,0.42375
2.2,0.42375
2.25,0.42375
2.3,0.42375
2.35,0.42375
2.4,0.42375
2.45,0.42375
2.5,0.425
2.55,0.425
2.6,0.425
2.65,0.425
2.7,0.425
2.75,0.425
2.8,0.425
2.85,0.425
2.9,0.425
2.95,0.425
3,0.425
3.05,0.425
3.1,0.425
3.15,0.425
3.2,0.425
3.25,0.425
3.3,0.425
3.35,0.425
3.4,0.425
3.45,0.425
3.5,0.425
3.55,0.425
3.6,0.425
3.65,0.425
3.7,0.425
3.75,0.425
3.8,0.425
3.85,0.425
3.9,0.425
3.95,0.425
4,0.425
4.05,0.425
4.1,0.425
4.15,0.425
4.2,0.425
4.25,0.425
4.3,0.425
4.35,0.425
4.4,0.425
4.45,0.425
4.5,0.425
4.55,0.425
4.6,0.425
4.65,0.425
4.7,0.425
4.75,0.425
4.8,0.425
4.85,0.425
4.9,0.425
4.95,0.425
5,0.425
5.05,0.42625
5.1,0.42625
5.15,0.42625
5.2,0.42625
5.25,0.42625
5.3,0.42625
5.35,0.42625
5.4,0.4275
5.45,0.4275
5.5,0.4275
5.55,0.4275
5.6,0.4275
5.65,0.4275
5.7,0.4275
5.75,0.4275
5.8,0.4275
5.85,0.4275
5.9,0.4275
5.95,0.4275
6,0.4275
6.05,0.4275
6.1,0.4275
6.15,0.42875
6.2,0.42875
6.25,0.42875
6.3,0.42875
6.35,0.42875
6.4,0.42875
6.45,0.42875
6.5,0.42875
6.55,0.42875
6.6,0.42875
6.65,0.42875
6.7,0.42875
6.75,0.42875
6.8,0.42875
6.85,0.42875
6.9,0.42875
6.95,0.43
7,0.43
7.05,0.43
7.1,0.43
7.15,0.43
7.2,0.43
7.25,0.43
7.3,0.43
7.35,0.43
7.4,0.43
7.45,0.43
7.5,0.43
7.55,0.43
7.6,0.43
7.65,0.43
7.7,0.43
7.75,0.43
7.8,0.43
7.85,0.43
7.9,0.43
7.95,0.43
8,0.43
8.05,0.43
8.1,0.43
8.15,0.43
8.2,0.43
8.25,0.43
8.3,0.43
8.35,0.43
8.4,0.43
8.45,0.43125
8.5,0.43125
8.55,0.43125
8.6,0.43125
8.65,0.43125
8.7,0.43125
8.75,0.43125
8.8,0.43125
8.85,0.43125
8.9,0.43125
8.95,0.43125
9,0.43125
9.05,0.43125
9.1,0.43125
9.15,0.43125
9.2,0.43125
9.25,0.43125
9.3,0.43125
9.35,0.43125
9.4,0.43125
9.45,0.4325
9.5,0.4325
9.55,0.4325
9.6,0.4325
9.65,0.4325
9.7,0.4325
9.75,0.4325
9.8,0.4325
9.85,0.4325
9.9,0.4325
9.95,0.43375
10,0.43375
