"x","y"
1,0.22375
1.05,0.23375
1.1,0.24125
1.15,0.25875
1.2,0.26375
1.25,0.26875
1.3,0.27875
1.35,0.28375
1.4,0.2875
1.45,0.28875
1.5,0.29375
1.55,0.3025
1.6,0.31
1.65,0.315
1.7,0.31875
1.75,0.3225
1.8,0.3275
1.85,0.33
1.9,0.3325
1.95,0.33375
2,0.33875
2.05,0.3425
2.1,0.345
2.15,0.34875
2.2,0.35
2.25,0.355
2.3,0.35875
2.35,0.35875
2.4,0.36
2.45,0.36
2.5,0.365
2.55,0.3675
2.6,0.37
2.65,0.37
2.7,0.3725
2.75,0.3725
2.8,0.37375
2.85,0.375
2.9,0.38
2.95,0.38
3,0.38
3.05,0.38125
3.1,0.38125
3.15,0.38375
3.2,0.38875
3.25,0.39
3.3,0.3925
3.35,0.3925
3.4,0.3925
3.45,0.39375
3.5,0.395
3.55,0.395
3.6,0.395
3.65,0.395
3.7,0.39625
3.75,0.39625
3.8,0.3975
3.85,0.3975
3.9,0.4
3.95,0.4025
4,0.4025
4.05,0.4025
4.1,0.40375
4.15,0.405
4.2,0.405
4.25,0.405
4.3,0.405
4.35,0.405
4.4,0.405
4.45,0.40625
4.5,0.4075
4.55,0.40875
4.6,0.41
4.65,0.41125
4.7,0.41125
4.75,0.4125
4.8,0.4125
4.85,0.4125
4.9,0.4125
4.95,0.4125
5,0.4125
5.05,0.4125
5.1,0.41375
5.15,0.41375
5.2,0.41375
5.25,0.41375
5.3,0.41375
5.35,0.415
5.4,0.415
5.45,0.41625
5.5,0.4175
5.55,0.4175
5.6,0.4175
5.65,0.4175
5.7,0.4175
5.75,0.4175
5.8,0.4175
5.85,0.4175
5.9,0.4175
5.95,0.4175
6,0.4175
6.05,0.4175
6.1,0.4175
6.15,0.4175
6.2,0.4175
6.25,0.4175
6.3,0.41875
6.35,0.41875
6.4,0.41875
6.45,0.41875
6.5,0.41875
6.55,0.41875
6.6,0.41875
6.65,0.41875
6.7,0.41875
6.75,0.41875
6.8,0.41875
6.85,0.41875
6.9,0.41875
6.95,0.41875
7,0.42
7.05,0.42
7.1,0.42
7.15,0.42
7.2,0.42
7.25,0.42
7.3,0.42
7.35,0.42
7.4,0.42
7.45,0.42
7.5,0.42
7.55,0.42
7.6,0.42
7.65,0.42
7.7,0.4225
7.75,0.4225
7.8,0.4225
7.85,0.4225
7.9,0.4225
7.95,0.4225
8,0.4225
8.05,0.4225
8.1,0.42375
8.15,0.42375
8.2,0.42375
8.25,0.42375
8.3,0.42375
8.35,0.42375
8.4,0.42375
8.45,0.42375
8.5,0.425
8.55,0.425
8.6,0.425
8.65,0.425
8.7,0.425
8.75,0.425
8.8,0.425
8.85,0.425
8.9,0.425
8.95,0.425
9,0.425
9.05,0.425
9.1,0.425
9.15,0.425
9.2,0.425
9.25,0.425
9.3,0.425
9.35,0.425
9.4,0.425
9.45,0.425
9.5,0.42625
9.55,0.42625
9.6,0.42625
9.65,0.42625
9.7,0.42625
9.75,0.42625
9.8,0.42625
9.85,0.42625
9.9,0.42625
9.95,0.42625
10,0.42625
