"x","y"
1,0.2275
1.05,0.23375
1.1,0.24125
1.15,0.2475
1.2,0.25125
1.25,0.2625
1.3,0.26625
1.35,0.27875
1.4,0.285
1.45,0.2925
1.5,0.2975
1.55,0.29875
1.6,0.3
1.65,0.30625
1.7,0.3075
1.75,0.31625
1.8,0.31875
1.85,0.325
1.9,0.33125
1.95,0.33625
2,0.3425
2.05,0.345
2.1,0.35
2.15,0.35
2.2,0.3525
2.25,0.35375
2.3,0.3575
2.35,0.36
2.4,0.36125
2.45,0.36375
2.5,0.36625
2.55,0.3675
2.6,0.36875
2.65,0.37
2.7,0.37
2.75,0.37125
2.8,0.37125
2.85,0.3725
2.9,0.37625
2.95,0.37625
3,0.3775
3.05,0.37875
3.1,0.38
3.15,0.38375
3.2,0.38375
3.25,0.385
3.3,0.3875
3.35,0.39
3.4,0.3925
3.45,0.39375
3.5,0.39375
3.55,0.39375
3.6,0.3975
3.65,0.3975
3.7,0.3975
3.75,0.3975
3.8,0.39875
3.85,0.4
3.9,0.4
3.95,0.40125
4,0.40125
4.05,0.4025
4.1,0.40375
4.15,0.405
4.2,0.405
4.25,0.4075
4.3,0.4075
4.35,0.4075
4.4,0.4075
4.45,0.4075
4.5,0.4075
4.55,0.4075
4.6,0.40875
4.65,0.40875
4.7,0.40875
4.75,0.40875
4.8,0.40875
4.85,0.40875
4.9,0.40875
4.95,0.41
5,0.41
5.05,0.41
5.1,0.41
5.15,0.41
5.2,0.41
5.25,0.41
5.3,0.41
5.35,0.41
5.4,0.41125
5.45,0.41125
5.5,0.41125
5.55,0.4125
5.6,0.4125
5.65,0.4125
5.7,0.4125
5.75,0.41375
5.8,0.415
5.85,0.4175
5.9,0.4175
5.95,0.4175
6,0.4175
6.05,0.4175
6.1,0.42
6.15,0.42125
6.2,0.42125
6.25,0.42125
6.3,0.42125
6.35,0.42125
6.4,0.42125
6.45,0.42125
6.5,0.42125
6.55,0.42125
6.6,0.42125
6.65,0.42125
6.7,0.42125
6.75,0.42125
6.8,0.42125
6.85,0.42125
6.9,0.42125
6.95,0.42125
7,0.42125
7.05,0.42125
7.1,0.42125
7.15,0.42125
7.2,0.42125
7.25,0.42125
7.3,0.42125
7.35,0.4225
7.4,0.4225
7.45,0.4225
7.5,0.4225
7.55,0.4225
7.6,0.4225
7.65,0.4225
7.7,0.4225
7.75,0.4225
7.8,0.4225
7.85,0.4225
7.9,0.4225
7.95,0.4225
8,0.4225
8.05,0.4225
8.1,0.4225
8.15,0.4225
8.2,0.4225
8.25,0.4225
8.3,0.4225
8.35,0.42375
8.4,0.42375
8.45,0.42375
8.5,0.42375
8.55,0.42375
8.6,0.425
8.65,0.425
8.7,0.42625
8.75,0.42625
8.8,0.42625
8.85,0.42625
8.9,0.42625
8.95,0.42625
9,0.42625
9.05,0.42625
9.1,0.42625
9.15,0.42625
9.2,0.42625
9.25,0.42625
9.3,0.42625
9.35,0.42625
9.4,0.42625
9.45,0.42625
9.5,0.42625
9.55,0.4275
9.6,0.4275
9.65,0.4275
9.7,0.4275
9.75,0.4275
9.8,0.4275
9.85,0.4275
9.9,0.4275
9.95,0.4275
10,0.4275
