"x","y"
1,0.274375
1.05,0.275
1.1,0.275
1.15,0.2753125
1.2,0.275625
1.25,0.2765625
1.3,0.2765625
1.35,0.276875
1.4,0.276875
1.45,0.276875
1.5,0.2771875
1.55,0.2778125
1.6,0.278125
1.65,0.278125
1.7,0.2784375
1.75,0.2784375
1.8,0.2784375
1.85,0.2784375
1.9,0.27875
1.95,0.27875
2,0.27875
2.05,0.27875
2.1,0.2796875
2.15,0.2796875
2.2,0.2796875
2.25,0.28
2.3,0.28
2.35,0.2803125
2.4,0.280625
2.45,0.280625
2.5,0.28125
2.55,0.28125
2.6,0.28125
2.65,0.28125
2.7,0.2815625
2.75,0.2815625
2.8,0.281875
2.85,0.281875
2.9,0.281875
2.95,0.281875
3,0.2821875
3.05,0.2821875
3.1,0.2821875
3.15,0.2825
3.2,0.283125
3.25,0.2834375
3.3,0.2834375
3.35,0.2834375
3.4,0.2834375
3.45,0.2834375
3.5,0.2834375
3.55,0.2840625
3.6,0.284375
3.65,0.284375
3.7,0.2846875
3.75,0.2846875
3.8,0.2846875
3.85,0.285
3.9,0.285
3.95,0.285
4,0.2853125
4.05,0.285625
4.1,0.285625
4.15,0.285625
4.2,0.285625
4.25,0.285625
4.3,0.2859375
4.35,0.2859375
4.4,0.2859375
4.45,0.28625
4.5,0.28625
4.55,0.2865625
4.6,0.2865625
4.65,0.2865625
4.7,0.286875
4.75,0.2871875
4.8,0.2871875
4.85,0.2871875
4.9,0.2871875
4.95,0.2871875
5,0.2871875
5.05,0.2875
5.1,0.2875
5.15,0.2875
5.2,0.2875
5.25,0.2875
5.3,0.2878125
5.35,0.2878125
5.4,0.2884375
5.45,0.28875
5.5,0.28875
5.55,0.28875
5.6,0.28875
5.65,0.28875
5.7,0.28875
5.75,0.28875
5.8,0.2890625
5.85,0.2890625
5.9,0.2890625
5.95,0.2890625
6,0.2890625
6.05,0.2890625
6.1,0.2890625
6.15,0.289375
6.2,0.289375
6.25,0.2896875
6.3,0.2896875
6.35,0.2896875
6.4,0.29
6.45,0.29
6.5,0.29
6.55,0.29
6.6,0.29
6.65,0.29
6.7,0.29
6.75,0.29
6.8,0.2903125
6.85,0.2903125
6.9,0.290625
6.95,0.2909375
7,0.2909375
7.05,0.2909375
7.1,0.2909375
7.15,0.2909375
7.2,0.2909375
7.25,0.2909375
7.3,0.2909375
7.35,0.29125
7.4,0.2915625
7.45,0.2915625
7.5,0.2915625
7.55,0.2915625
7.6,0.2915625
7.65,0.2915625
7.7,0.2915625
7.75,0.2915625
7.8,0.291875
7.85,0.291875
7.9,0.291875
7.95,0.291875
8,0.291875
8.05,0.291875
8.1,0.291875
8.15,0.291875
8.2,0.291875
8.25,0.291875
8.3,0.291875
8.35,0.291875
8.4,0.291875
8.45,0.2921875
8.5,0.2921875
8.55,0.2925
8.6,0.293125
8.65,0.2934375
8.7,0.2934375
8.75,0.29375
8.8,0.29375
8.85,0.29375
8.9,0.29375
8.95,0.29375
9,0.2940625
9.05,0.2940625
9.1,0.2940625
9.15,0.2946875
9.2,0.295
9.25,0.295
9.3,0.295
9.35,0.295
9.4,0.2953125
9.45,0.295625
9.5,0.295625
9.55,0.295625
9.6,0.295625
9.65,0.2959375
9.7,0.2959375
9.75,0.2959375
9.8,0.2959375
9.85,0.29625
9.9,0.29625
9.95,0.296875
10,0.2971875
