"x","y"
1,0.1159375
1.05,0.1215625
1.1,0.12625
1.15,0.13375
1.2,0.1384375
1.25,0.143125
1.3,0.148125
1.35,0.15375
1.4,0.1590625
1.45,0.16625
1.5,0.175
1.55,0.1825
1.6,0.1878125
1.65,0.1934375
1.7,0.19875
1.75,0.205625
1.8,0.2125
1.85,0.216875
1.9,0.2215625
1.95,0.224375
2,0.230625
2.05,0.2340625
2.1,0.236875
2.15,0.2425
2.2,0.2484375
2.25,0.2525
2.3,0.2559375
2.35,0.2590625
2.4,0.2621875
2.45,0.265625
2.5,0.2709375
2.55,0.2740625
2.6,0.2790625
2.65,0.281875
2.7,0.2859375
2.75,0.2890625
2.8,0.2909375
2.85,0.2928125
2.9,0.2971875
2.95,0.2984375
3,0.3059375
3.05,0.30875
3.1,0.3109375
3.15,0.311875
3.2,0.31625
3.25,0.3203125
3.3,0.323125
3.35,0.3253125
3.4,0.326875
3.45,0.3296875
3.5,0.3340625
3.55,0.3378125
3.6,0.3396875
3.65,0.3403125
3.7,0.3453125
3.75,0.34625
3.8,0.35
3.85,0.351875
3.9,0.3546875
3.95,0.356875
4,0.3596875
4.05,0.36125
4.1,0.36375
4.15,0.3659375
4.2,0.3690625
4.25,0.371875
4.3,0.3725
4.35,0.3746875
4.4,0.3771875
4.45,0.3790625
4.5,0.38125
4.55,0.3828125
4.6,0.385
4.65,0.3875
4.7,0.3884375
4.75,0.3903125
4.8,0.39375
4.85,0.3959375
4.9,0.3975
4.95,0.4009375
5,0.4040625
5.05,0.405
5.1,0.406875
5.15,0.4084375
5.2,0.41
5.25,0.4115625
5.3,0.414375
5.35,0.416875
5.4,0.4190625
5.45,0.4209375
5.5,0.4225
5.55,0.4253125
5.6,0.42875
5.65,0.430625
5.7,0.4346875
5.75,0.436875
5.8,0.438125
5.85,0.4403125
5.9,0.4421875
5.95,0.4434375
6,0.445625
6.05,0.4465625
6.1,0.4475
6.15,0.4496875
6.2,0.451875
6.25,0.454375
6.3,0.4553125
6.35,0.4565625
6.4,0.458125
6.45,0.4596875
6.5,0.4603125
6.55,0.46125
6.6,0.4634375
6.65,0.4640625
6.7,0.4659375
6.75,0.4671875
6.8,0.4678125
6.85,0.469375
6.9,0.4715625
6.95,0.473125
7,0.475625
7.05,0.4765625
7.1,0.47875
7.15,0.48
7.2,0.4828125
7.25,0.4853125
7.3,0.48625
7.35,0.4878125
7.4,0.489375
7.45,0.49
7.5,0.4909375
7.55,0.491875
7.6,0.4925
7.65,0.49375
7.7,0.495
7.75,0.495625
7.8,0.4975
7.85,0.4984375
7.9,0.500625
7.95,0.501875
8,0.5040625
8.05,0.5040625
8.1,0.505
8.15,0.5059375
8.2,0.5071875
8.25,0.50875
8.3,0.5090625
8.35,0.51
8.4,0.5103125
8.45,0.5115625
8.5,0.513125
8.55,0.514375
8.6,0.515625
8.65,0.5175
8.7,0.5203125
8.75,0.52125
8.8,0.5221875
8.85,0.523125
8.9,0.5240625
8.95,0.5240625
9,0.5246875
9.05,0.5253125
9.1,0.526875
9.15,0.5278125
9.2,0.5290625
9.25,0.529375
9.3,0.530625
9.35,0.531875
9.4,0.5325
9.45,0.5340625
9.5,0.5359375
9.55,0.538125
9.6,0.54
9.65,0.5403125
9.7,0.5409375
9.75,0.5415625
9.8,0.5425
9.85,0.5428125
9.9,0.54375
9.95,0.5446875
10,0.5465625
