"x","y"
1,0.5796875
1.05,0.5846875
1.1,0.5890625
1.15,0.594375
1.2,0.598125
1.25,0.6034375
1.3,0.6065625
1.35,0.6121875
1.4,0.615625
1.45,0.61875
1.5,0.621875
1.55,0.6228125
1.6,0.625625
1.65,0.628125
1.7,0.62875
1.75,0.631875
1.8,0.6328125
1.85,0.635625
1.9,0.6375
1.95,0.64
2,0.6425
2.05,0.64375
2.1,0.645
2.15,0.6453125
2.2,0.6459375
2.25,0.64625
2.3,0.6475
2.35,0.648125
2.4,0.64875
2.45,0.6496875
2.5,0.6509375
2.55,0.65125
2.6,0.651875
2.65,0.6525
2.7,0.6528125
2.75,0.65375
2.8,0.6553125
2.85,0.655625
2.9,0.6571875
2.95,0.6571875
3,0.6575
3.05,0.658125
3.1,0.65875
3.15,0.66
3.2,0.66
3.25,0.6609375
3.3,0.661875
3.35,0.6628125
3.4,0.66375
3.45,0.664375
3.5,0.664375
3.55,0.664375
3.6,0.6653125
3.65,0.665625
3.7,0.665625
3.75,0.665625
3.8,0.6659375
3.85,0.6665625
3.9,0.6665625
3.95,0.666875
4,0.6671875
4.05,0.6675
4.1,0.668125
4.15,0.66875
4.2,0.669375
4.25,0.67
4.3,0.67
4.35,0.67
4.4,0.6703125
4.45,0.6703125
4.5,0.6703125
4.55,0.670625
4.6,0.6709375
4.65,0.6709375
4.7,0.67125
4.75,0.67125
4.8,0.67125
4.85,0.67125
4.9,0.67125
4.95,0.671875
5,0.671875
5.05,0.671875
5.1,0.671875
5.15,0.6721875
5.2,0.6721875
5.25,0.6721875
5.3,0.6721875
5.35,0.6721875
5.4,0.6725
5.45,0.6725
5.5,0.6728125
5.55,0.673125
5.6,0.6734375
5.65,0.67375
5.7,0.67375
5.75,0.6740625
5.8,0.674375
5.85,0.675
5.9,0.675
5.95,0.6753125
6,0.6753125
6.05,0.6753125
6.1,0.6759375
6.15,0.67625
6.2,0.67625
6.25,0.67625
6.3,0.6765625
6.35,0.6765625
6.4,0.676875
6.45,0.676875
6.5,0.676875
6.55,0.6771875
6.6,0.6775
6.65,0.6775
6.7,0.6775
6.75,0.6775
6.8,0.6778125
6.85,0.6778125
6.9,0.6778125
6.95,0.6778125
7,0.6778125
7.05,0.678125
7.1,0.678125
7.15,0.678125
7.2,0.678125
7.25,0.678125
7.3,0.678125
7.35,0.6784375
7.4,0.6784375
7.45,0.67875
7.5,0.67875
7.55,0.67875
7.6,0.67875
7.65,0.67875
7.7,0.67875
7.75,0.67875
7.8,0.67875
7.85,0.67875
7.9,0.67875
7.95,0.67875
8,0.67875
8.05,0.67875
8.1,0.67875
8.15,0.67875
8.2,0.67875
8.25,0.67875
8.3,0.67875
8.35,0.6790625
8.4,0.6790625
8.45,0.6790625
8.5,0.6790625
8.55,0.6790625
8.6,0.679375
8.65,0.679375
8.7,0.68
8.75,0.6803125
8.8,0.6803125
8.85,0.6803125
8.9,0.6803125
8.95,0.6803125
9,0.6803125
9.05,0.680625
9.1,0.680625
9.15,0.680625
9.2,0.680625
9.25,0.680625
9.3,0.6809375
9.35,0.6809375
9.4,0.6809375
9.45,0.6809375
9.5,0.6809375
9.55,0.68125
9.6,0.68125
9.65,0.68125
9.7,0.68125
9.75,0.68125
9.8,0.68125
9.85,0.68125
9.9,0.68125
9.95,0.68125
10,0.68125
