"total_time","ecdf_value","log_total_time"
0.422631,0.0125,-0.374038650598503
0.521268,0.025,-0.282938935057606
0.569006,0.0375,-0.244883154073904
0.666368,0.05,-0.176285866578915
0.738236,0.0625,-0.13180478029976
0.783492,0.075,-0.10596543362244
1.27261,0.0875,0.104695331541849
1.32174,0.1,0.121146033311121
1.80065,0.1125,0.255429305356762
1.83974,0.125,0.264756450974837
1.90782,0.1375,0.280537397257814
2.15717,0.15,0.333884371877086
2.31312,0.1625,0.364198163676796
2.48439,0.175,0.395219772484011
2.68518,0.1875,0.428973403773576
5.04048,0.2,0.70247189585529
5.14126,0.2125,0.711069567241879
5.18586,0.225,0.714820788166428
5.53404,0.2375,0.743042293893566
6.57832,0.25,0.818114995758673
6.68313,0.2625,0.824979909086215
6.72385,0.275,0.82761801635296
7.14286,0.2875,0.85387213803952
7.39561,0.3,0.868974001011504
8.31503,0.3125,0.919863820460042
9.86451,0.325,0.994075517405609
9.94367,0.3375,0.997546702966942
10.1462,0.35,1.0063034187975
10.2065,0.3625,1.0088768399047
13.1727,0.375,1.1196748011516
13.7102,0.3875,1.13704379018432
15.6444,0.4,1.19435891157387
16.3392,0.4125,1.21323078878814
17.8167,0.425,1.25082726734913
17.9813,0.4375,1.25482108686423
18.3595,0.45,1.2638608495124
21.6829,0.4625,1.3361173668779
22.0438,0.475,1.34328646208441
23.1966,0.4875,1.36542433362158
24.2629,0.5,1.38494270826703
29.3475,0.5125,1.46757111129238
32.3982,0.525,1.51052088206516
36.3576,0.5375,1.56059520730137
38.134,0.55,1.58131236223185
42.7151,0.5625,1.63058142742372
44.9659,0.575,1.65288329031307
49.0833,0.5875,1.69093375380255
69.7777,0.6,1.8437166502114
73.5404,0.6125,1.86652598774824
110.63,0.625,2.04387291239142
138.6,0.6375,2.14176323027579
185.14,0.65,2.26750025939327
200.27,0.6625,2.30161589781952
224.39,0.675,2.35100349856634
286.79,0.6875,2.4575640039674
460.63,0.7,2.66335221936459
624.21,0.7125,2.79533072189104
669.08,0.725,2.82547804823326
895.65,0.7375,2.95213833023746
977.31,0.75,2.99003234256708
1003.49,0.7625,3.00151304900441
1296.38,0.775,3.11273232230106
1408.88,0.7875,3.14887400406947
1466.52,0.8,3.16628799014672
1511.09,0.8125,3.17929033153913
1784.05,0.825,3.25140702180008
2491.91,0.8375,3.39653235291121
2599.44,0.85,3.41487979754585
3003.63,0.8625,3.47764643337372
3032.4,0.875,3.48178648796754
3265.59,0.8875,3.5139616574628
3600.13,0.9,3.55631818334042
3984.03,0.9125,3.60032260002912
4147.2,0.925,3.61775497985448
4953.44,0.9375,3.69490690684069
5120.6,0.95,3.7093208518786
6139.14,0.9625,3.78810753736046
6694.35,0.975,3.82570841478827
7310.75,0.9875,3.86396193292957
