"total_time","ecdf_value","log_total_time"
0.411101,0.0125,-0.3860514668004
0.525793,0.025,-0.279185200050899
0.570105,0.0375,-0.244045150080086
0.693863,0.05,-0.158726270492507
0.694962,0.0625,-0.158038941656642
0.761742,0.075,-0.118192098147756
1.27599,0.0875,0.105847270810036
1.38187,0.1,0.140467188524263
1.78681,0.1125,0.252078374364311
1.82241,0.125,0.260646089819366
1.94361,0.1375,0.288609124870104
2.11722,0.15,0.325765987836051
2.14495,0.1625,0.331417172988256
2.48685,0.175,0.395649590602905
2.70054,0.1875,0.431450614370636
5.12988,0.2,0.710107206057747
5.15006,0.2125,0.711812288753254
5.20054,0.225,0.716048441104823
5.44685,0.2375,0.736145415466032
6.57539,0.25,0.817921516830975
6.61899,0.2625,0.820791724954634
6.64384,0.275,0.822419165026526
7.02954,0.2875,0.846926906527932
7.71077,0.3,0.887097749004722
8.41515,0.3125,0.925061861677462
9.4464,0.325,0.97526633147091
10.116,0.3375,1.00500882067237
10.1647,0.35,1.0070945654367
10.2088,0.3625,1.00897469566118
13.1662,0.375,1.11946044791819
13.7494,0.3875,1.13828374672085
15.046,0.4,1.17742105748317
16.246,0.4125,1.21074644889833
16.6181,0.425,1.22058136802298
17.8869,0.4375,1.25253507899372
19.2982,0.45,1.28551680297029
20.9659,0.4625,1.3215135100329
21.7168,0.475,1.33679583174889
22.9237,0.4875,1.36028471625766
24.2564,0.5,1.38482634574122
31.6986,0.5125,1.50104008159626
32.2361,0.525,1.50834249433243
34.428,0.5375,1.53691179429362
36.4395,0.55,1.56157240922493
44.1229,0.5625,1.64466404893151
44.5354,0.575,1.64870535733686
49.4756,0.5875,1.69439106968205
64.7925,0.6,1.81152473739645
73.5402,0.6125,1.86652480664215
124.467,0.625,2.09505422197294
201.626,0.6375,2.30454653436307
272.914,0.65,2.43602581477138
336.3,0.6625,2.52672686731464
350.701,0.675,2.54493700424438
552.986,0.6875,2.74271413636851
795.238,0.7,2.90049712440235
808.819,0.7125,2.9078513447321
903.22,0.725,2.95579354560587
1043.43,0.7375,3.01846331910972
1044.73,0.75,3.01900406589101
1160.87,0.7625,3.06478358800406
