result,instance,standard_TL,method,status,reason,has_large_scaled,iteration,total_time,master_time,adver_time,best_bound,best_obj,rel_gap,abs_gap,adversarial_unexpected_status,with_heuristic,n_facilities,n_customers,Gamma,blank
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R200__9.txt,60.000000,CG,   Optimal,   Proved,1,13,10800.51,10569.32,230.84,-7057.00,-5357.00,31.73,1700.00,,1,15,30,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R200__9.txt,120.000000,CG,  Feasible, ObjLimit,0,10,14.2282,11.5482,2.59744,-1304,-1304,0,0,,0,10,20,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R200__2.txt,60.000000,CG,   Optimal,   Proved,1,9,2278.17,2267.25,10.78,-2994.00,-2994.00,0.00,0.00,,0,15,20,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R200__2.txt,60.000000,CG,   Optimal,   Proved,1,5,147.19,142.41,4.74,-6885.00,-6885.00,0.00,0.00,,0,10,20,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R300__2.txt,120.000000,CG,   Optimal,   Proved,1,16,8970.69,8957.19,13.23,-3348.00,-3348.00,0.00,0.00,,0,15,20,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C40__R200__8.txt,60.000000,CG,   Optimal,   Proved,1,5,582.65,579.23,3.35,-2059.00,-2059.00,0.00,0.00,,0,10,40,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C40__R200__8.txt,inf,STD,Infeasible,        -,1,4,10803.9,10466.5,337.268,1e+20,-6535,1.53022e+18,1e+20,,0,15,40,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C30__R200__0.txt,120.000000,CG,   Optimal,   Proved,0,8,133.906,105.534,28.2659,-1496,-1496,0,0,,1,10,30,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C40__R200__4.txt,inf,STD,Infeasible,        -,1,3,10800.1,10797.1,2.91679,1e+20,-661,1.51286e+19,1e+20,,0,15,40,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C40__R200__9.txt,120.000000,CG,   Optimal,   Proved,1,12,1694.89,1622.18,72.43,-1551.00,-1551.00,0.00,0.00,,1,10,40,4.00,
