result,instance,standard_TL,method,status,reason,has_large_scaled,iteration,total_time,master_time,adver_time,best_bound,best_obj,rel_gap,abs_gap,adversarial_unexpected_status,with_heuristic,n_facilities,n_customers,Gamma,blank
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/datainstance_F15_C20__R300__8.txt,60.000000,CG,   Optimal,   Proved,0,14,71.8637,68.2868,3.38321,0,0,0,0,,0,15,20,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/datainstance_F15_C20__R300__5.txt,120.000000,CG,   Optimal,   Proved,0,12,25.9056,23.0774,2.67406,-521,-521,1.76313e-11,9.1859e-11,,1,15,20,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/datainstance_F15_C40__R200__9.txt,60.000000,CG,   Optimal,   Proved,1,6,10881.23,10272.51,608.54,-8028.00,-6733.00,19.23,1295.00,  Feasible,0,15,40,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C40__R300__4.txt,120.000000,CG,   Optimal,   Proved,1,12,924.86,923.93,0.69,0.00,0.00,0.00,0.00,,1,10,40,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/datainstance_F15_C20__R300__9.txt,60.000000,CG,   Optimal,   Proved,1,14,10800.35,10786.99,13.14,-1422.00,-63.00,2157.14,1359.00,,1,15,20,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R300__1.txt,60.000000,CG,   Optimal,   Proved,0,13,3.65746,2.9773,0.578927,0,0,0,0,,1,10,20,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/datainstance_F20_C60__R200__0.txt,inf,STD,Infeasible,        -,1,2,10801,10794.2,6.63105,1e+20,-5495,1.81984e+18,1e+20,,0,20,60,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/datainstance_F15_C20__R200__1.txt,60.000000,CG,  Feasible, ObjLimit,0,10,15.4391,12.183,3.13466,-1010,-1010,0,0,,1,15,20,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C30__R300__7.txt,120.000000,CG,   Optimal,   Proved,0,16,104.731,103.539,0.992465,0,0,0,0,,0,10,30,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/datainstance_F20_C30__R300__2.txt,120.000000,CG,   Optimal,   Proved,1,5,10800.26,10789.78,10.33,-4064.00,-1751.00,132.10,2313.00,,1,20,30,4.00,
