instance,method,time,best_obj
interKP-400-100-5-8,MibS-First,43.0,10681.0
neos-916792_50_50,MibS-First,3600,1e+20
OR30x100-0.25_1.dat-100,MibS-First,1.0,24689.0
T1-4-3,MibS-First,1.0,-192.0
weish15.dat-0,MibS-First,0.0,6398.0
interKP-400-100-5-9,MibS-First,41.0,7706.0
lectsched-5-obj_100_0,MibS-First,3600,1e+20
T1-4-2,MibS-First,112.0,-181.0
interKP-200-100-5-5,MibS-First,5.0,5397.0
interKP-200-100-5-4,MibS-First,4.0,4465.0
K5010W05.KNP,MibS-First,0.0,4924.0
interKP-400-100-8-2,MibS-First,8.0,4946.0
plusBCPIns_10_9_2,MibS-First,0.0,8.0
xuLarge900-1,MibS-First,16.0,-1.82041
plusBCPIns_10_9_3,MibS-First,0.0,7.0
interKP-400-100-8-3,MibS-First,10.0,7030.0
OR5x100-0.50_5.dat-0,MibS-First,43.0,40289.0
macrophage_0_100,MibS-First,3600,1e+20
interKP-400-100-2-10,MibS-First,61.0,3501.0
OR5x100-0.50_2.dat-100,MibS-First,3.0,35609.0
OR5x250-0.50_3.dat-0,MibS-First,2442.0,91198.0
OR5x100-0.75_8.dat-100,MibS-First,4.0,21937.0
gen-ip002_50_50,MibS-First,128.0,-2149.72
2AP05-19,MibS-First,0.0,-28.0
rndgraph-50_3-5-5_002,MibS-First,0.0,46.0
OR10x500-0.75_7.dat-50,MibS-First,3600,1e+20
weish10.dat-100,MibS-First,0.0,5639.0
interKP-400-100-4-1,MibS-First,0.0,2059.0
2AP05-18,MibS-First,0.0,-23.0
p0282-0.500000,MibS-First,77.0,277499.0
neos-5104907-jarama_0_100,MibS-First,3600,1e+20
K5010W02.KNP,MibS-First,0.0,1610.0
rmatr100-p10_100_0,MibS-First,3600,1e+20
OR10x100-0.50_7.dat-100,MibS-First,4.0,30595.0
OR5x100-0.50_6.dat-50,MibS-First,10.0,33191.0
OR5x500-0.50_3.dat-0,MibS-First,3600,1e+20
T1-8-1,MibS-First,1.0,-107.0
nw04_50_50,MibS-First,3600,1e+20
OR10x100-0.50_5.dat-50,MibS-First,37.0,41178.0
neos-4387871-tavua_50_50,MibS-First,3600,1e+20
OR10x250-0.50_10.dat-100,MibS-First,21.0,71666.0
BCPIns_10_7_3.txt_trad.txt_K8,MibS-First,0.0,5.0
interKP-200-100-9-7,MibS-First,0.0,8729.0
