instance_name,n,p,k,ntoll,seed,method,upper_level_objective,total_time,iterations,objective_value,fail
n4_p33_k3_ntoll25_seed34,4,33,3,25,34,consensus,nonlinear,0.08564996719360352,0,0.0,
n4_p33_k3_ntoll25_seed34,4,33,3,25,34,enhanced,nonlinear,0.8772521018981934,109,2.2641448546741136,
n5_p40_k1_ntoll23_seed16,5,40,1,23,16,consensus,nonlinear,0.01352691650390625,0,3.6248810463336647,
n5_p40_k1_ntoll23_seed16,5,40,1,23,16,enhanced,nonlinear,0.005861043930053711,1,10.0,
n3_p26_k1_ntoll20_seed34,3,26,1,20,34,consensus,nonlinear,0.0011060237884521484,0,0,
n3_p26_k1_ntoll20_seed34,3,26,1,20,34,enhanced,nonlinear,0.0013689994812011719,0,0,
n5_p37_k2_ntoll17_seed100,5,37,2,17,100,consensus,nonlinear,0.056464195251464844,0,0.0,
n5_p37_k2_ntoll17_seed100,5,37,2,17,100,enhanced,nonlinear,0.012078046798706055,0,0.0,
n3_p20_k2_ntoll17_seed92,3,20,2,17,92,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n3_p39_k2_ntoll17_seed99,3,39,2,17,99,consensus,nonlinear,0.0015099048614501953,0,0,
n3_p39_k2_ntoll17_seed99,3,39,2,17,99,enhanced,nonlinear,0.0019440650939941406,0,0,
n3_p38_k1_ntoll22_seed78,3,38,1,22,78,consensus,nonlinear,0.0007488727569580078,0,0,
n3_p38_k1_ntoll22_seed78,3,38,1,22,78,enhanced,nonlinear,0.0011091232299804688,0,0,
n3_p33_k3_ntoll25_seed36,3,33,3,25,36,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n5_p35_k1_ntoll19_seed21,5,35,1,19,21,consensus,nonlinear,0.037322998046875,0,0.0,
n5_p35_k1_ntoll19_seed21,5,35,1,19,21,enhanced,nonlinear,0.34494972229003906,92,0.38205102485747106,
n3_p34_k3_ntoll15_seed78,3,34,3,15,78,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n4_p35_k3_ntoll24_seed100,4,35,3,24,100,consensus,nonlinear,0.004132270812988281,0,0,
n4_p35_k3_ntoll24_seed100,4,35,3,24,100,enhanced,nonlinear,0.005138874053955078,0,0,
n5_p31_k2_ntoll24_seed84,5,31,2,24,84,consensus,nonlinear,0.055863142013549805,0,0.0,
n5_p31_k2_ntoll24_seed84,5,31,2,24,84,enhanced,nonlinear,0.013788938522338867,0,0.0,
n5_p23_k2_ntoll24_seed91,5,23,2,24,91,consensus,nonlinear,0.08473682403564453,1,3.932557427030756,
n5_p23_k2_ntoll24_seed91,5,23,2,24,91,enhanced,nonlinear,1.1908950805664062,70,8.480682007096052,
n5_p34_k1_ntoll17_seed58,5,34,1,17,58,consensus,nonlinear,0.035024166107177734,0,0.0,
n5_p34_k1_ntoll17_seed58,5,34,1,17,58,enhanced,nonlinear,0.007913827896118164,0,0.0,
n4_p36_k2_ntoll15_seed18,4,36,2,15,18,consensus,nonlinear,0.002743959426879883,0,0,
n4_p36_k2_ntoll15_seed18,4,36,2,15,18,enhanced,nonlinear,0.003434896469116211,0,0,
n5_p37_k2_ntoll21_seed57,5,37,2,21,57,consensus,nonlinear,0.08071088790893555,1,3.932616303854876,
n5_p37_k2_ntoll21_seed57,5,37,2,21,57,enhanced,nonlinear,0.014983892440795898,1,10.0,
n4_p23_k3_ntoll17_seed85,4,23,3,17,85,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n5_p23_k3_ntoll24_seed53,5,23,3,24,53,consensus,nonlinear,0.1637558937072754,0,0.0,
n5_p23_k3_ntoll24_seed53,5,23,3,24,53,enhanced,nonlinear,2.5857179164886475,115,0.32817288106406584,
n4_p24_k1_ntoll20_seed52,4,24,1,20,52,consensus,nonlinear,0.017842769622802734,0,3.6250000000000004,
n4_p24_k1_ntoll20_seed52,4,24,1,20,52,enhanced,nonlinear,0.29361724853515625,85,5.108763186246836,
n5_p26_k3_ntoll21_seed17,5,26,3,21,17,consensus,nonlinear,0.1164400577545166,1,7.654043065598809,
n5_p26_k3_ntoll21_seed17,5,26,3,21,17,enhanced,nonlinear,1.365952968597412,112,12.346963958951472,
n5_p26_k3_ntoll15_seed62,5,26,3,15,62,consensus,nonlinear,0.09324789047241211,0,0.0,
n5_p26_k3_ntoll15_seed62,5,26,3,15,62,enhanced,nonlinear,0.023329973220825195,0,0.0,
n5_p20_k3_ntoll20_seed12,5,20,3,20,12,consensus,nonlinear,0.20923399925231934,1,3.82816941978217,
n5_p20_k3_ntoll20_seed12,5,20,3,20,12,enhanced,nonlinear,0.03821897506713867,1,10.0,
n3_p26_k3_ntoll22_seed40,3,26,3,22,40,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n5_p30_k3_ntoll23_seed28,5,30,3,23,28,consensus,nonlinear,0.10388684272766113,0,0.0,
n5_p30_k3_ntoll23_seed28,5,30,3,23,28,enhanced,nonlinear,0.019565105438232422,0,0.0,
n4_p36_k3_ntoll22_seed12,4,36,3,22,12,consensus,nonlinear,0.004069089889526367,0,0,
n4_p36_k3_ntoll22_seed12,4,36,3,22,12,enhanced,nonlinear,0.004801034927368164,0,0,
n3_p36_k2_ntoll17_seed28,3,36,2,17,28,consensus,nonlinear,0.0014581680297851562,0,0,
n3_p36_k2_ntoll17_seed28,3,36,2,17,28,enhanced,nonlinear,0.0019419193267822266,0,0,
n5_p37_k2_ntoll19_seed29,5,37,2,19,29,consensus,nonlinear,0.08218598365783691,0,0.0,
n5_p37_k2_ntoll19_seed29,5,37,2,19,29,enhanced,nonlinear,0.010755062103271484,0,0.0,
n4_p28_k2_ntoll18_seed84,4,28,2,18,84,consensus,nonlinear,0.0034890174865722656,0,0,
n4_p28_k2_ntoll18_seed84,4,28,2,18,84,enhanced,nonlinear,0.004031181335449219,0,0,
n5_p21_k3_ntoll16_seed23,5,21,3,16,23,consensus,nonlinear,0.09895610809326172,0,0.0,
n5_p21_k3_ntoll16_seed23,5,21,3,16,23,enhanced,nonlinear,0.03009629249572754,0,0.0,
n3_p33_k2_ntoll25_seed32,3,33,2,25,32,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n5_p36_k1_ntoll15_seed15,5,36,1,15,15,consensus,nonlinear,0.03301692008972168,0,0.0,
n5_p36_k1_ntoll15_seed15,5,36,1,15,15,enhanced,nonlinear,0.009423017501831055,0,0.0,
n3_p20_k2_ntoll16_seed50,3,20,2,16,50,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n5_p22_k3_ntoll15_seed75,5,22,3,15,75,consensus,nonlinear,0.1636059284210205,0,0.0,
n5_p22_k3_ntoll15_seed75,5,22,3,15,75,enhanced,nonlinear,,,,Failed to converge
n4_p32_k2_ntoll23_seed39,4,32,2,23,39,consensus,nonlinear,0.03151535987854004,0,0.0,
n4_p32_k2_ntoll23_seed39,4,32,2,23,39,enhanced,nonlinear,0.00896906852722168,0,0.0,
n5_p23_k3_ntoll19_seed6,5,23,3,19,6,consensus,nonlinear,0.10107111930847168,0,0.0,
n5_p23_k3_ntoll19_seed6,5,23,3,19,6,enhanced,nonlinear,0.026102781295776367,0,0.0,
n3_p36_k1_ntoll20_seed43,3,36,1,20,43,consensus,nonlinear,0.0009279251098632812,0,0,
n3_p36_k1_ntoll20_seed43,3,36,1,20,43,enhanced,nonlinear,0.0011680126190185547,0,0,
n4_p26_k2_ntoll18_seed30,4,26,2,18,30,consensus,nonlinear,0.0029838085174560547,0,0,
n4_p26_k2_ntoll18_seed30,4,26,2,18,30,enhanced,nonlinear,0.0037140846252441406,0,0,
n4_p35_k3_ntoll19_seed4,4,35,3,19,4,consensus,nonlinear,0.004308938980102539,0,0,
n4_p35_k3_ntoll19_seed4,4,35,3,19,4,enhanced,nonlinear,0.005414247512817383,0,0,
n5_p23_k1_ntoll19_seed32,5,23,1,19,32,consensus,nonlinear,0.04124808311462402,0,0.0,
n5_p23_k1_ntoll19_seed32,5,23,1,19,32,enhanced,nonlinear,0.010361194610595703,0,0.0,
n3_p24_k3_ntoll16_seed87,3,24,3,16,87,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n5_p37_k1_ntoll24_seed55,5,37,1,24,55,consensus,nonlinear,0.012192010879516602,0,3.6249999999451146,
n5_p37_k1_ntoll24_seed55,5,37,1,24,55,enhanced,nonlinear,0.007447957992553711,1,10.0,
n3_p20_k1_ntoll18_seed30,3,20,1,18,30,consensus,nonlinear,0.000926971435546875,0,0,
n3_p20_k1_ntoll18_seed30,3,20,1,18,30,enhanced,nonlinear,0.0013151168823242188,0,0,
n5_p39_k1_ntoll23_seed26,5,39,1,23,26,consensus,nonlinear,0.040344953536987305,0,0.0,
n5_p39_k1_ntoll23_seed26,5,39,1,23,26,enhanced,nonlinear,0.008296966552734375,0,0.0,
n5_p40_k3_ntoll23_seed54,5,40,3,23,54,consensus,nonlinear,0.09046602249145508,0,0.0,
n5_p40_k3_ntoll23_seed54,5,40,3,23,54,enhanced,nonlinear,1.3131000995635986,105,1.014744941769022,
n3_p34_k3_ntoll19_seed1,3,34,3,19,1,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n3_p33_k2_ntoll19_seed20,3,33,2,19,20,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n3_p30_k1_ntoll16_seed49,3,30,1,16,49,consensus,nonlinear,0.0009148120880126953,0,0,
n3_p30_k1_ntoll16_seed49,3,30,1,16,49,enhanced,nonlinear,0.0012707710266113281,0,0,
n3_p31_k2_ntoll24_seed34,3,31,2,24,34,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n3_p34_k3_ntoll16_seed49,3,34,3,16,49,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n3_p37_k2_ntoll25_seed80,3,37,2,25,80,consensus,nonlinear,0.0014488697052001953,0,0,
n3_p37_k2_ntoll25_seed80,3,37,2,25,80,enhanced,nonlinear,0.00186920166015625,0,0,
n4_p38_k1_ntoll16_seed6,4,38,1,16,6,consensus,nonlinear,0.0014562606811523438,0,0,
n4_p38_k1_ntoll16_seed6,4,38,1,16,6,enhanced,nonlinear,0.0019299983978271484,0,0,
n5_p27_k2_ntoll16_seed30,5,27,2,16,30,consensus,nonlinear,0.07835125923156738,0,0.0,
n5_p27_k2_ntoll16_seed30,5,27,2,16,30,enhanced,nonlinear,0.015609979629516602,0,0.0,
n3_p32_k2_ntoll22_seed82,3,32,2,22,82,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n4_p25_k2_ntoll20_seed27,4,25,2,20,27,consensus,nonlinear,0.058084964752197266,0,0.0,
n4_p25_k2_ntoll20_seed27,4,25,2,20,27,enhanced,nonlinear,0.7857520580291748,102,0.5308179886806289,
n5_p28_k3_ntoll25_seed83,5,28,3,25,83,consensus,nonlinear,0.2358250617980957,1,15.309874953925814,
n5_p28_k3_ntoll25_seed83,5,28,3,25,83,enhanced,nonlinear,0.028383970260620117,1,40.0,
n3_p39_k3_ntoll17_seed69,3,39,3,17,69,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n5_p27_k1_ntoll22_seed49,5,27,1,22,49,consensus,nonlinear,0.003547191619873047,0,0.0,
n5_p27_k1_ntoll22_seed49,5,27,1,22,49,enhanced,nonlinear,0.005717039108276367,0,0.0,
n4_p40_k3_ntoll23_seed29,4,40,3,23,29,consensus,nonlinear,0.004189014434814453,0,0,
n4_p40_k3_ntoll23_seed29,4,40,3,23,29,enhanced,nonlinear,0.0049092769622802734,0,0,
n5_p30_k1_ntoll18_seed5,5,30,1,18,5,consensus,nonlinear,0.024058103561401367,0,0.0,
n5_p30_k1_ntoll18_seed5,5,30,1,18,5,enhanced,nonlinear,0.007589101791381836,0,0.0,
n4_p32_k2_ntoll16_seed28,4,32,2,16,28,consensus,nonlinear,0.003011941909790039,0,0,
n4_p32_k2_ntoll16_seed28,4,32,2,16,28,enhanced,nonlinear,0.0036759376525878906,0,0,
n5_p30_k1_ntoll25_seed64,5,30,1,25,64,consensus,nonlinear,0.04320788383483887,0,0.0,
n5_p30_k1_ntoll25_seed64,5,30,1,25,64,enhanced,nonlinear,0.006968975067138672,0,0.0,
n4_p40_k2_ntoll17_seed34,4,40,2,17,34,consensus,nonlinear,0.0029811859130859375,0,0,
n4_p40_k2_ntoll17_seed34,4,40,2,17,34,enhanced,nonlinear,0.0036041736602783203,0,0,
n3_p27_k3_ntoll23_seed69,3,27,3,23,69,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n4_p38_k2_ntoll24_seed52,4,38,2,24,52,consensus,nonlinear,0.0029609203338623047,0,0,
n4_p38_k2_ntoll24_seed52,4,38,2,24,52,enhanced,nonlinear,0.0037038326263427734,0,0,
n4_p27_k1_ntoll23_seed64,4,27,1,23,64,consensus,nonlinear,0.0022771358489990234,0,3.6250000000000004,
n4_p27_k1_ntoll23_seed64,4,27,1,23,64,enhanced,nonlinear,0.22059082984924316,80,7.048108414136831,
n3_p21_k1_ntoll17_seed81,3,21,1,17,81,consensus,nonlinear,0.0010640621185302734,0,0,
n3_p21_k1_ntoll17_seed81,3,21,1,17,81,enhanced,nonlinear,0.0014259815216064453,0,0,
