architecture,instance,method,warm_start,time,objective,status,success
mnist_1layer_100hidden_acc97.7_delta_5,11418,gurobi_ReLUBigM,nows,300.8041,8.809323751,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,11418,gurobi_ReLUBigM,ws,300.6578,9.116503665,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,11418,gurobi_ReLUQuadratic,nows,302.5799,8.895939689,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,11418,gurobi_ReLUQuadratic,ws,301.0389,8.809323751,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,11418,gurobi_ReLUSOS1,nows,302.1909,8.895939689,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,11418,gurobi_ReLUSOS1,ws,302.452,8.809323751,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,11418,ipopt_ReLUQuadratic,nows,299.8859,27.97277736,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,11418,ipopt_ReLUQuadratic,ws,300.0886,28.84041276,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,12216,gurobi_ReLUBigM,nows,300.5809,12.8997099,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,12216,gurobi_ReLUBigM,ws,300.9772,13.14882413,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,12216,gurobi_ReLUQuadratic,nows,301.6601,13.63593975,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,12216,gurobi_ReLUQuadratic,ws,302.137,12.64394399,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,12216,gurobi_ReLUSOS1,nows,303.0391,13.60111751,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,12216,gurobi_ReLUSOS1,ws,301.7644,12.64394399,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,12216,ipopt_ReLUQuadratic,nows,300.6112,33.98386927,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,12216,ipopt_ReLUQuadratic,ws,300.329,35.00294294,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,25303,gurobi_ReLUBigM,nows,300.8108,12.28218248,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,25303,gurobi_ReLUBigM,ws,300.7563,12.28218261,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,25303,gurobi_ReLUQuadratic,nows,301.0747,12.28218261,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,25303,gurobi_ReLUQuadratic,ws,301.5872,12.52188072,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,25303,gurobi_ReLUSOS1,nows,301.778,12.28218261,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,25303,gurobi_ReLUSOS1,ws,302.0358,12.52188072,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,25303,ipopt_ReLUQuadratic,nows,300.3826,43.79462468,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,25303,ipopt_ReLUQuadratic,ws,300.2114,67.8722494,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,27143,gurobi_ReLUBigM,nows,301.3099,10.77038989,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,27143,gurobi_ReLUBigM,ws,124.0802,10.71161295,OPTIMAL,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,27143,gurobi_ReLUQuadratic,nows,267.592,10.71161295,OPTIMAL,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,27143,gurobi_ReLUQuadratic,ws,301.6242,10.71161295,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,27143,gurobi_ReLUSOS1,nows,275.3156,10.71161295,OPTIMAL,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,27143,gurobi_ReLUSOS1,ws,301.6751,10.71161295,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,27143,ipopt_ReLUQuadratic,nows,301.487,51.76750827,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,27143,ipopt_ReLUQuadratic,ws,300.196,52.46976224,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,32760,gurobi_ReLUBigM,nows,101.6691,4.86245653,OPTIMAL,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,32760,gurobi_ReLUBigM,ws,79.4508,4.86245653,OPTIMAL,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,32760,gurobi_ReLUQuadratic,nows,103.6505,4.86245653,OPTIMAL,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,32760,gurobi_ReLUQuadratic,ws,132.7118,4.86245653,OPTIMAL,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,32760,gurobi_ReLUSOS1,nows,100.7124,4.86245653,OPTIMAL,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,32760,gurobi_ReLUSOS1,ws,134.4942,4.86245653,OPTIMAL,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,32760,ipopt_ReLUQuadratic,nows,300.1302,39.10589282,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,32760,ipopt_ReLUQuadratic,ws,301.3175,45.58844336,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,34865,gurobi_ReLUBigM,nows,300.6269,12.07585299,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,34865,gurobi_ReLUBigM,ws,300.9329,,TIME_LIMIT,FALSE
mnist_1layer_100hidden_acc97.7_delta_5,34865,gurobi_ReLUQuadratic,nows,301.2827,,TIME_LIMIT,FALSE
mnist_1layer_100hidden_acc97.7_delta_5,34865,gurobi_ReLUQuadratic,ws,301.1284,12.0191534,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,34865,gurobi_ReLUSOS1,nows,302.0966,,TIME_LIMIT,FALSE
mnist_1layer_100hidden_acc97.7_delta_5,34865,gurobi_ReLUSOS1,ws,301.9902,12.0191534,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,34865,ipopt_ReLUQuadratic,nows,300.3206,41.97786313,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,34865,ipopt_ReLUQuadratic,ws,300.2329,45.16514579,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,3608,gurobi_ReLUBigM,nows,300.775,6.820586139,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,3608,gurobi_ReLUBigM,ws,300.9227,7.123976791,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,3608,gurobi_ReLUQuadratic,nows,302.5578,7.162315019,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,3608,gurobi_ReLUQuadratic,ws,301.3063,6.881236667,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,3608,gurobi_ReLUSOS1,nows,301.7017,7.162315019,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,3608,gurobi_ReLUSOS1,ws,302.1956,6.881236667,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,3608,ipopt_ReLUQuadratic,nows,300.4877,25.56589364,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,3608,ipopt_ReLUQuadratic,ws,300.5945,24.59379678,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,39703,gurobi_ReLUBigM,nows,301.1382,12.1704716,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,39703,gurobi_ReLUBigM,ws,301.0587,12.1704716,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,39703,gurobi_ReLUQuadratic,nows,301.694,12.32560699,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,39703,gurobi_ReLUQuadratic,ws,301.3919,12.1704716,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,39703,gurobi_ReLUSOS1,nows,302.244,12.27946924,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,39703,gurobi_ReLUSOS1,ws,302.2869,12.1704716,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,39703,ipopt_ReLUQuadratic,nows,300.5723,39.17648653,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,39703,ipopt_ReLUQuadratic,ws,299.7537,45.34101252,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,45793,gurobi_ReLUBigM,nows,290.6028,7.425893114,OPTIMAL,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,45793,gurobi_ReLUBigM,ws,301.2219,7.439009717,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,45793,gurobi_ReLUQuadratic,nows,301.1439,7.439009717,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,45793,gurobi_ReLUQuadratic,ws,301.3535,7.439009717,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,45793,gurobi_ReLUSOS1,nows,302.3128,7.439009717,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,45793,gurobi_ReLUSOS1,ws,302.6419,7.439009717,TIME_LIMIT,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,45793,ipopt_ReLUQuadratic,nows,302.335,33.05567514,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,45793,ipopt_ReLUQuadratic,ws,300.3361,34.09572424,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,8463,gurobi_ReLUBigM,nows,123.0313,7.769277049,OPTIMAL,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,8463,gurobi_ReLUBigM,ws,114.1646,7.769277049,OPTIMAL,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,8463,gurobi_ReLUQuadratic,nows,116.4178,7.769277049,OPTIMAL,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,8463,gurobi_ReLUQuadratic,ws,128.3926,7.769277049,OPTIMAL,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,8463,gurobi_ReLUSOS1,nows,110.8855,7.769277049,OPTIMAL,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,8463,gurobi_ReLUSOS1,ws,127.1345,7.769277049,OPTIMAL,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,8463,ipopt_ReLUQuadratic,nows,299.9643,33.64918889,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,8463,ipopt_ReLUQuadratic,ws,300.7868,41.55971388,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,11418,gurobi_ReLUBigM,nows,300.6516,12.42864289,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,11418,gurobi_ReLUBigM,ws,300.7606,12.82770052,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,11418,gurobi_ReLUQuadratic,nows,301.1002,14.00031776,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,11418,gurobi_ReLUQuadratic,ws,301.1743,12.81409991,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,11418,gurobi_ReLUSOS1,nows,301.8793,14.00031776,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,11418,gurobi_ReLUSOS1,ws,301.8321,12.81409991,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,11418,ipopt_ReLUQuadratic,nows,300.6244,37.04501984,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,11418,ipopt_ReLUQuadratic,ws,300.9002,35.4621258,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,12216,gurobi_ReLUBigM,nows,300.6496,13.9327012,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,12216,gurobi_ReLUBigM,ws,300.7998,14.05462103,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,12216,gurobi_ReLUQuadratic,nows,301.2841,13.43978205,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,12216,gurobi_ReLUQuadratic,ws,301.1502,14.4328121,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,12216,gurobi_ReLUSOS1,nows,302.0427,13.43978205,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,12216,gurobi_ReLUSOS1,ws,301.8777,14.4328121,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,12216,ipopt_ReLUQuadratic,nows,300.9019,40.49980853,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,12216,ipopt_ReLUQuadratic,ws,300.7828,42.94285591,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,25303,gurobi_ReLUBigM,nows,300.8336,19.63748701,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,25303,gurobi_ReLUBigM,ws,300.7675,19.80066219,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,25303,gurobi_ReLUQuadratic,nows,301.3736,20.30972709,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,25303,gurobi_ReLUQuadratic,ws,301.4301,19.4733814,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,25303,gurobi_ReLUSOS1,nows,302.1742,20.30972709,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,25303,gurobi_ReLUSOS1,ws,301.9399,19.11704396,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,25303,ipopt_ReLUQuadratic,nows,299.978,50.23774132,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,25303,ipopt_ReLUQuadratic,ws,300.5041,64.05507639,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,27143,gurobi_ReLUBigM,nows,300.8878,12.21221294,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,27143,gurobi_ReLUBigM,ws,300.7039,13.4457463,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,27143,gurobi_ReLUQuadratic,nows,301.4372,13.04782063,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,27143,gurobi_ReLUQuadratic,ws,301.8969,13.37025507,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,27143,gurobi_ReLUSOS1,nows,302.412,13.04782063,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,27143,gurobi_ReLUSOS1,ws,302.6704,13.37025507,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,27143,ipopt_ReLUQuadratic,nows,303.0509,53.61599852,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,27143,ipopt_ReLUQuadratic,ws,300.3927,62.53655757,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,32760,gurobi_ReLUBigM,nows,300.7856,8.855961333,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,32760,gurobi_ReLUBigM,ws,300.762,8.843880332,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,32760,gurobi_ReLUQuadratic,nows,301.5191,8.261995608,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,32760,gurobi_ReLUQuadratic,ws,301.2629,8.230912415,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,32760,gurobi_ReLUSOS1,nows,302.2032,8.261995608,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,32760,gurobi_ReLUSOS1,ws,302.346,8.230912415,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,32760,ipopt_ReLUQuadratic,nows,300.5759,58.62029757,UNKNOWN_STATUS_NUMERICAL_ERROR,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,32760,ipopt_ReLUQuadratic,ws,300.6405,93.14595043,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,34865,gurobi_ReLUBigM,nows,300.7765,16.54664563,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,34865,gurobi_ReLUBigM,ws,300.6703,18.91719302,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,34865,gurobi_ReLUQuadratic,nows,301.2178,17.23660958,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,34865,gurobi_ReLUQuadratic,ws,301.4581,18.66935397,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,34865,gurobi_ReLUSOS1,nows,301.8575,17.23660958,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,34865,gurobi_ReLUSOS1,ws,301.8911,18.66935397,TIME_LIMIT,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,34865,ipopt_ReLUQuadratic,nows,300.8455,48.76145487,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,34865,ipopt_ReLUQuadratic,ws,300.5236,68.6670053,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_200hidden_acc97.7_delta_5,3608,gurobi_ReLUBigM,nows,300.8468,11.74716292,TIME_LIMIT,TRUE
