architecture,instance,method,warm_start,time,objective,status,gap,best_bound,success
mnist_1layer_100hidden_acc97.7_delta_5,11418,gurobi_ReLUBigM,nows,301.1906,8.80932375129823,SUBOPTIMAL,0.825165,1.54017700501593,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,11418,gurobi_ReLUBigM,ws,300.695,9.11650366505054,SUBOPTIMAL,0.852669,1.34314079149394,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,11418,gurobi_ReLUQuadratic,nows,301.3904,8.89593968899964,SUBOPTIMAL,0.832391,1.49103668956693,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,11418,gurobi_ReLUQuadratic,ws,301.0783,8.80932375129822,SUBOPTIMAL,0.748832,2.21261704226333,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,11418,gurobi_ReLUSOS1,nows,301.9033,8.89593968899964,SUBOPTIMAL,0.832391,1.49103668956693,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,11418,gurobi_ReLUSOS1,ws,301.9151,8.80932375129822,SUBOPTIMAL,0.748832,2.21261704226333,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,11418,ipopt_ReLUQuadratic,nows,300.339,24.9210008584804,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,11418,ipopt_ReLUQuadratic,ws,300.2019,28.8404127622308,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,12216,gurobi_ReLUBigM,nows,300.7309,13.4606723113597,SUBOPTIMAL,0.828197,2.31258144726964,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,12216,gurobi_ReLUBigM,ws,301.2131,13.1488241286617,SUBOPTIMAL,0.841583,2.08299527693553,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,12216,gurobi_ReLUQuadratic,nows,301.0899,13.6351070775324,SUBOPTIMAL,0.850758,2.03492711158953,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,12216,gurobi_ReLUQuadratic,ws,301.6145,12.6439439855118,SUBOPTIMAL,0.861341,1.75319614861862,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,12216,gurobi_ReLUSOS1,nows,301.7634,13.6351070775324,SUBOPTIMAL,0.850758,2.03492711158953,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,12216,gurobi_ReLUSOS1,ws,302.1204,12.6439439855118,SUBOPTIMAL,0.861341,1.75319614861862,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,12216,ipopt_ReLUQuadratic,nows,301.196,31.86804860831,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,12216,ipopt_ReLUQuadratic,ws,300.6327,35.0029429415684,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,25303,gurobi_ReLUBigM,nows,301.1234,12.2821824765957,SUBOPTIMAL,0.440167,6.87596921526664,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,25303,gurobi_ReLUBigM,ws,300.7969,12.2821826074185,SUBOPTIMAL,0.643767,4.37531847360513,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,25303,gurobi_ReLUQuadratic,nows,301.4578,12.2821826074185,SUBOPTIMAL,0.596818,4.95195491016701,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,25303,gurobi_ReLUQuadratic,ws,301.905,12.5218807191954,SUBOPTIMAL,0.635866,4.55964654499115,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,25303,gurobi_ReLUSOS1,nows,302.6244,12.2821826074185,SUBOPTIMAL,0.599167,4.92310351071905,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,25303,gurobi_ReLUSOS1,ws,301.8903,12.5218807191954,SUBOPTIMAL,0.635866,4.55964654499115,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,25303,ipopt_ReLUQuadratic,nows,299.8638,47.6267023304901,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,25303,ipopt_ReLUQuadratic,ws,300.5106,67.8722494048914,UNKNOWN_STATUS_LOCALLY_SOLVED,,,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,27143,gurobi_ReLUBigM,nows,301.201,10.7703898896741,SUBOPTIMAL,0.590451,4.41100359463818,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,27143,gurobi_ReLUBigM,ws,121.6119,10.7116129543548,OPTIMAL,0,10.7116129543548,TRUE
mnist_1layer_100hidden_acc97.7_delta_5,27143,gurobi_ReLUQuadratic,nows,298.1958,10.7116129543548,OPTIMAL,0,10.7116129543548,TRUE
